loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_comment
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.48803557,170.53875,0.146,2.9575,6.16E+02,2.26,0.0853,793,93.59,35.8,1,q1_q17_dr25_tce,5455,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347,NO_COMMENT
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.969,0,0,0,0,54.4183827,162.51384,0.586,4.507,8.75E+02,2.83,0.2734,443,9.11,25.8,2,q1_q17_dr25_tce,5455,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347,NO_COMMENT
3,10811496,K00753.01,,CANDIDATE,CANDIDATE,0,0,0,0,0,19.89913995,175.850252,0.969,1.7822,1.08E+04,14.6,0.1419,638,39.3,76.3,1,q1_q17_dr25_tce,5853,4.544,-0.18,0.868,0.961,297.00482,48.134129,15.436,DEEP_V_SHAPED
4,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.736952453,170.307565,1.276,2.40641,8.08E+03,33.46,0.0267,1395,891.96,505.6,1,q1_q17_dr25_tce,5805,4.564,-0.52,0.791,0.836,285.53461,48.28521,15.597,MOD_ODDEVEN_DV
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.525591777,171.59555,0.701,1.6545,6.03E+02,2.75,0.0374,1406,926.16,40.9,1,q1_q17_dr25_tce,6031,4.438,0.07,1.046,1.095,288.75488,48.2262,15.509,NO_COMMENT
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1,0,0,0,0,11.09432054,171.20116,0.538,4.5945,1.52E+03,3.9,0.0992,835,114.81,66.5,1,q1_q17_dr25_tce,6046,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,NO_COMMENT
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1,0,0,0,0,4.13443512,172.97937,0.762,3.1402,6.86E+02,2.77,0.0514,1160,427.65,40.2,2,q1_q17_dr25_tce,6046,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,NO_COMMENT
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,0,0,0,0,2.56658897,179.55437,0.755,2.429,2.27E+02,1.59,0.0374,1360,807.74,15,3,q1_q17_dr25_tce,6046,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,NO_COMMENT
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,7.36178958,132.25053,1.169,5.022,2.34E+02,39.21,0.082,1342,767.22,47.7,1,q1_q17_dr25_tce,6227,3.986,0,1.958,1.358,298.86435,42.151569,12.66,MOD_SEC_DV
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1,0,0,0,0,16.06864674,173.621937,0.052,3.5347,4.91E+03,5.76,0.1158,600,30.75,161.9,1,q1_q17_dr25_tce,5031,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,NO_COMMENT
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,0,0,0,0,2.470613377,122.763305,0.818,1.74319,1.42E+04,13.04,0.0354,1339,761.46,4304.3,1,q1_q17_dr25_tce,5820,4.457,-0.06,0.964,0.971,286.80847,49.316399,11.338,CENT_SATURATED
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1,0,1,0,0,2.204735417,121.3585417,0.224,3.88864,6.67E+03,16.1,0.0376,2048,4148.92,5945.9,1,q1_q17_dr25_tce,6440,4.019,0.14,1.952,1.449,292.24728,47.969521,10.463,MOD_SEC_DV
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.522498429,121.1194228,0.631,3.19843,9.15E+03,14.59,0.0473,1521,1264.67,1741.5,1,q1_q17_dr25_tce,6225,4.169,-0.04,1.451,1.132,281.28812,42.45108,13.563,NO_COMMENT
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1,0,0,0,0,3.709214104,133.98318,0.051,2.6302,1.31E+02,1.16,0.0465,1206,500.46,50.6,2,q1_q17_dr25_tce,5833,4.407,-0.04,1.022,0.974,295.64871,48.49556,12.772,NO_COMMENT
15,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,11.52144606,170.839688,2.483,3.6399,1.80E+04,150.51,0.0978,753,75.88,622.1,1,q1_q17_dr25_tce,5795,4.554,-0.2,0.848,0.938,297.07993,47.597401,15.472,MOD_SEC_DV
16,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.40393776,172.484253,0.804,12.2155,8.92E+03,7.18,0.123,523,17.69,214.7,1,q1_q17_dr25_tce,5043,4.591,-0.54,0.68,0.657,289.25821,47.635319,15.487,MOD_SEC_DV
17,10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.22138894,184.5521637,1.065,4.79843,7.43E+04,49.29,0.1417,698,55.97,2317,1,q1_q17_dr25_tce,6117,4.496,-0.22,0.947,1.025,295.81454,47.69035,15.341,DEEP_V_SHAPED
18,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,16.46983774,180.881761,0.292,9.4378,1.05E+04,7.94,0.1147,595,29.61,303.4,1,q1_q17_dr25_tce,5152,4.517,-0.2,0.786,0.741,297.15442,47.668701,15.788,MOD_SEC_DV
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.27358173,173.258155,0.387,3.2875,1.29E+03,2.47,0.0759,649,41.85,87.2,1,q1_q17_dr25_tce,4856,4.583,-0.3,0.696,0.676,288.13824,47.724449,15.302,CENT_KIC_POS
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.02930329,171.602959,0.258,1.5821,1.91E+03,2.85,0.0585,678,50.04,65.4,1,q1_q17_dr25_tce,4537,4.648,0.21,0.672,0.761,283.71088,47.86327,15.784,CENT_KIC_POS
21,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,2.696370652,170.73769,0.044,3.6129,3.98E+02,1.58,0.0349,1066,305.34,48.2,1,q1_q17_dr25_tce,4989,4.504,0.1,0.819,0.781,283.76547,47.804298,15.269,MOD_SEC_DV
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1,0,0,0,0,5.349553819,171.80694,0.092,3.0278,8.31E+02,2.55,0.0563,919,168.99,60.6,1,q1_q17_dr25_tce,5185,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,NO_COMMENT
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.98,0,0,0,0,3.94105221,136.08662,0.226,2.5984,3.63E+02,1.7,0.046,1018,253.15,28.9,2,q1_q17_dr25_tce,5185,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,NO_COMMENT
